data_type,structure_category,tree_category,time_category,prediction_category,size,Kendall [c],Kendall [p],Spearman [c],Spearman [p]
train,all,all,all,all,34914,0.199±0.005,0.895±0.007,0.277±0.008,0.974±0.003
train,all,all,all,underestimated,13571,0.245±0.050,0.872±0.050,0.344±0.071,0.956±0.029
train,all,all,all,overestimated,21342,0.186±0.034,0.927±0.016,0.261±0.048,0.986±0.005
train,all,all,small,all,8627,0.104±0.009,0.376±0.027,0.145±0.013,0.537±0.033
train,all,all,small,underestimated,2383,0.058±0.031,0.572±0.055,0.052±0.050,0.746±0.058
train,all,all,small,overestimated,6243,0.215±0.026,0.539±0.032,0.308±0.037,0.724±0.033
train,all,all,medium,all,17412,0.172±0.007,0.859±0.012,0.250±0.010,0.959±0.005
train,all,all,medium,underestimated,7787,0.180±0.048,0.780±0.062,0.257±0.070,0.903±0.043
train,all,all,medium,overestimated,9625,0.156±0.037,0.917±0.008,0.233±0.056,0.980±0.002
train,all,all,big,all,8875,0.121±0.007,0.930±0.005,0.179±0.010,0.985±0.003
train,all,all,big,underestimated,3401,0.196±0.050,0.933±0.014,0.282±0.062,0.983±0.005
train,all,all,big,overestimated,5474,0.114±0.034,0.928±0.014,0.168±0.051,0.983±0.006
train,all,seen,all,all,34914,0.199±0.005,0.895±0.007,0.277±0.008,0.974±0.003
train,all,seen,all,underestimated,13571,0.245±0.050,0.872±0.050,0.344±0.071,0.956±0.029
train,all,seen,all,overestimated,21342,0.186±0.034,0.927±0.016,0.261±0.048,0.986±0.005
train,all,seen,small,all,8627,0.104±0.009,0.376±0.027,0.145±0.013,0.537±0.033
train,all,seen,small,underestimated,2383,0.058±0.031,0.572±0.055,0.052±0.050,0.746±0.058
train,all,seen,small,overestimated,6243,0.215±0.026,0.539±0.032,0.308±0.037,0.724±0.033
train,all,seen,medium,all,17412,0.172±0.007,0.859±0.012,0.250±0.010,0.959±0.005
train,all,seen,medium,underestimated,7787,0.180±0.048,0.780±0.062,0.257±0.070,0.903±0.043
train,all,seen,medium,overestimated,9625,0.156±0.037,0.917±0.008,0.233±0.056,0.980±0.002
train,all,seen,big,all,8875,0.121±0.007,0.930±0.005,0.179±0.010,0.985±0.003
train,all,seen,big,underestimated,3401,0.196±0.050,0.933±0.014,0.282±0.062,0.983±0.005
train,all,seen,big,overestimated,5474,0.114±0.034,0.928±0.014,0.168±0.051,0.983±0.006
train,all,unseen,all,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,all,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,all,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,small,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,small,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,small,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,medium,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,medium,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,medium,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,big,all,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,big,underestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,all,unseen,big,overestimated,0,nan±nan,nan±nan,nan±nan,nan±nan
train,seen,all,all,all,34914,0.199±0.005,0.895±0.007,0.277±0.008,0.974±0.003
train,seen,all,all,underestimated,13571,0.245±0.050,0.872±0.050,0.344±0.071,0.956±0.029
train,seen,all,all,overestimated,21342,0.186±0.034,0.927±0.016,0.261±0.048,0.986±0.005
train,seen,all,small,all,8627,0.104±0.009,0.376±0.027,0.145±0.013,0.537±0.033
train,seen,all,small,underestimated,2383,0.058±0.031,0.572±0.055,0.052±0.050,0.746±0.058
train,seen,all,small,overestimated,6243,0.215±0.026,0.539±0.032,0.308±0.037,0.724±0.033
train,seen,all,medium,all,17412,0.172±0.007,0.859±0.012,0.250±0.010,0.959±0.005
train,seen,all,medium,underestimated,7787,0.180±0.048,0.780±0.062,0.257±0.070,0.903±0.043
train,seen,all,medium,overestimated,9625,0.156±0.037,0.917±0.008,0.233±0.056,0.980±0.002
train,seen,all,big,all,8875,0.121±0.007,0.930±0.005,0.179±0.010,0.985±0.003
train,seen,all,big,underestimated,3401,0.196±0.050,0.933±0.014,0.282±0.062,0.983±0.005
train,seen,all,big,overestimated,5474,0.114±0.034,0.928±0.014,0.168±0.051,0.983±0.006
train,seen,seen,all,all,34914,0.199±0.005,0.895±0.007,0.277±0.008,0.974±0.003
train,seen,seen,all,underestimated,13571,0.245±0.050,0.872±0.050,0.344±0.071,0.956±0.029
train,seen,seen,all,overestimated,21342,0.186±0.034,0.927±0.016,0.261±0.048,0.986±0.005
train,seen,seen,small,all,8627,0.104±0.009,0.376±0.027,0.145±0.013,0.537±0.033
train,seen,seen,small,underestimated,2383,0.058±0.031,0.572±0.055,0.052±0.050,0.746±0.058
train,seen,seen,small,overestimated,6243,0.215±0.026,0.539±0.032,0.308±0.037,0.724±0.033
train,seen,seen,medium,all,17412,0.172±0.007,0.859±0.012,0.250±0.010,0.959±0.005
