data_type,structure_category,tree_category,time_category,prediction_category,size,mse,mape
train,all,all,all,all,34914,0.059±0.007,12.504±2.044
train,all,all,all,underestimated,13572,0.071±0.011,0.196±0.042
train,all,all,all,overestimated,21342,0.054±0.010,20.911±4.650
train,all,all,small,all,8627,0.035±0.017,50.396±8.729
train,all,all,small,underestimated,2384,0.004±0.000,0.427±0.035
train,all,all,small,overestimated,6243,0.048±0.024,69.509±11.587
train,all,all,medium,all,17412,0.034±0.005,0.144±0.015
train,all,all,medium,underestimated,7787,0.043±0.013,0.196±0.040
train,all,all,medium,overestimated,9625,0.030±0.005,0.111±0.006
train,all,all,big,all,8875,0.132±0.011,0.014±0.001
train,all,all,big,underestimated,3401,0.217±0.075,0.014±0.002
train,all,all,big,overestimated,5474,0.114±0.036,0.015±0.001
train,all,seen,all,all,34914,0.059±0.007,12.504±2.044
train,all,seen,all,underestimated,13572,0.071±0.011,0.196±0.042
train,all,seen,all,overestimated,21342,0.054±0.010,20.911±4.650
train,all,seen,small,all,8627,0.035±0.017,50.396±8.729
train,all,seen,small,underestimated,2384,0.004±0.000,0.427±0.035
train,all,seen,small,overestimated,6243,0.048±0.024,69.509±11.587
train,all,seen,medium,all,17412,0.034±0.005,0.144±0.015
train,all,seen,medium,underestimated,7787,0.043±0.013,0.196±0.040
train,all,seen,medium,overestimated,9625,0.030±0.005,0.111±0.006
train,all,seen,big,all,8875,0.132±0.011,0.014±0.001
train,all,seen,big,underestimated,3401,0.217±0.075,0.014±0.002
train,all,seen,big,overestimated,5474,0.114±0.036,0.015±0.001
train,all,unseen,all,all,0,0.000±0.000,0.000±0.000
train,all,unseen,all,underestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,all,overestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,small,all,0,0.000±0.000,0.000±0.000
train,all,unseen,small,underestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,small,overestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,medium,all,0,0.000±0.000,0.000±0.000
train,all,unseen,medium,underestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,medium,overestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,big,all,0,0.000±0.000,0.000±0.000
train,all,unseen,big,underestimated,0,0.000±0.000,0.000±0.000
train,all,unseen,big,overestimated,0,0.000±0.000,0.000±0.000
