`disable_scans`,`disable_joins`,`decrease_dop`,`disable_inl`,`use_joined_search`,E2E Time (sec),Boost (% of optimum),Learning Time (sec)
True,False,False,False,False,395.8,42.1,3797.4
False,True,False,False,False,365.1,50.6,2860.3
True,True,False,False,False,298.3,69.2,7568.1
False,False,False,True,False,410.3,38.0,957.0
False,False,True,False,False,400.3,40.8,1378.2
True,False,True,False,False,335.4,58.9,5068.9
False,True,True,False,False,310.3,65.9,4520.2
True,True,True,False,False,266.6,78.1,9157.7
False,False,True,True,False,279.0,74.6,2014.2
False,True,True,True,False,232.4,87.6,4554.6
True,True,True,True,False,219.3,91.2,8204.7
True,True,True,False,True,251.9,82.2,19328.8
False,False,True,True,True,254.7,81.4,2341.8
False,True,True,False,True,307.1,66.8,7092.1
False,True,True,True,True,206.7,94.8,7105.9
True,True,True,True,True,193.3,98.5,14866.9
